00:24:32:680 CMD DBGM     - ---- Debug Monitor List of the 5900 registered Modules ----------
00:24:32:680 CMD DBGM     -  # Symbol   Release - Module Name                      Filter Ta
00:24:32:681 CMD DBGM     - 57 IL1CULB1 0.00.00 - Top2000.SecurityChain.IL1CULB1   000000 off
00:24:32:681 CMD DBGM     - 58 IL1CULB2 0.00.00 - Top2000.SecurityChain.IL1CULB2   000000 off
00:24:32:681 CMD DBGM     - 59 IL1ACQB0 0.00.00 - Top2000.SecurityChain.IL1ACQB0   000000 off
00:24:32:681 CMD DBGM     - 60 IL1FE1B0 0.00.00 - Top2000.SecurityChain.IL1FE1B0   000000 off
00:24:32:681 CMD DBGM     - 61 IL1FE2B0 0.00.00 - Top2000.SecurityChain.IL1FE2B0   000000 off
00:24:32:681 CMD DBGM     - 62 IL1ELCB0 0.00.00 - Top2000.SecurityChain.IL1ELCB0   000000 off
00:24:32:681 CMD DBGM     - 63 IL2CULB1 0.00.00 - Top2000.SecurityChain.IL2CULB1   000000 off
00:24:32:681 CMD DBGM     - 64 IL2CULB2 0.00.00 - Top2000.SecurityChain.IL2CULB2   000000 off
00:24:32:681 CMD DBGM     - 65 IL2ACQB0 0.00.00 - Top2000.SecurityChain.IL2ACQB0   000000 off
00:24:32:681 CMD DBGM     - 66 IL2FE1B0 0.00.00 - Top2000.SecurityChain.IL2FE1B0   000000 off
00:24:32:681 CMD DBGM     - 67 IL2FE2B0 0.00.00 - Top2000.SecurityChain.IL2FE2B0   000000 off
00:24:32:681 CMD DBGM     - 68 IL2ELCB0 0.00.00 - Top2000.SecurityChain.IL2ELCB0   000000 off
00:24:32:681 CMD DBGM     - 69 Securi~0 0.00.00 - SecurityChainMemory              000000 off
00:24:32:681 CMD DBGM     - 70 SortConv 0.00.00 - SortConveyor                     001090 off
00:24:32:681 CMD DBGM     - 71 MaintSC1 0.00.00 - Top2000.MaintSC1                 000000 off
00:24:32:681 INF UpperCnv - rootOnMailPieceNotified - queryOutput already sent (Recircul.) [mpGlbId=40000576(140)]
00:24:32:681 CMD DBGM     - 72 Role     0.00.00 - Top2000.MaintSC1.Role            000000 off
00:24:32:681 CMD DBGM     - 73 Zone1    0.00.00 - Space.MaintenanceZones.Zone1     000000 off
00:24:32:681 CMD DBGM     - 74 MaintSC2 0.00.00 - Top2000.MaintSC2                 000000 off
00:24:32:681 CMD DBGM     - 75 Role~0   0.00.00 - Top2000.MaintSC2.Role            000000 off
00:24:32:681 CMD DBGM     - 76 Zone2    0.00.00 - Space.MaintenanceZones.Zone2     000000 off
00:24:32:681 CMD DBGM     - 77 MaintSC3 0.00.00 - Top2000.MaintSC3                 000000 off
00:24:32:681 CMD DBGM     - 78 Role~1   0.00.00 - Top2000.MaintSC3.Role            000000 off
00:24:32:681 CMD DBGM     - 79 Zone3    0.00.00 - Space.MaintenanceZones.Zone3     000000 off
00:24:32:681 CMD DBGM     - 80 MaintSC6 0.00.00 - Top2000.MaintSC6                 000000 off
00:24:32:681 CMD DBGM     - 81 Role~2   0.00.00 - Top2000.MaintSC6.Role            000000 off
00:24:32:681 CMD DBGM     - 82 Zone6    0.00.00 - Space.MaintenanceZones.Zone6     000000 off
00:24:32:681 CMD DBGM     - 83 COVER-LC 1.00.00 - SortConveyor.COVER-LCH-SQ3       000000 off
00:24:32:681 CMD DBGM     - 84 LCHSQ3   0.00.00 - COVER-LCH-SQ3.LCHSQ3             000000 off
00:24:32:681 CMD DBGM     - 85 LCHSQ2   0.00.00 - COVER-LCH-SQ3.LCHSQ2             000000 off
00:24:32:681 CMD DBGM     - 86 COVER-~0 1.00.00 - SortConveyor.COVER-LCH-SQ1       000000 off
00:24:32:681 CMD DBGM     - 87 LCHSQ1   0.00.00 - COVER-LCH-SQ1.LCHSQ1             000000 off
00:24:32:681 CMD DBGM     - 88 COVER-~1 1.00.00 - SortConveyor.COVER-LCH-SQ4       000000 off
00:24:32:681 CMD DBGM     - 89 LCHSQ4   0.00.00 - COVER-LCH-SQ4.LCHSQ4             000000 off
00:24:32:681 CMD DBGM     - 90 COVER-MO 1.00.00 - SortConveyor.COVER-MOI-SQ1       000000 off
00:24:32:681 CMD DBGM     - 91 MOISQ1   0.00.00 - COVER-MOI-SQ1.MOISQ1             000000 off
00:24:32:681 CMD DBGM     - 92 COVER-IN 1.00.00 - SortConveyor.COVER-INJ-SQ11      000000 off
00:24:32:681 CMD DBGM     - 93 INJSQ11  0.00.00 - COVER-INJ-SQ11.INJSQ11           000000 off
00:24:32:681 CMD DBGM     - 94 COVER-~2 1.00.00 - SortConveyor.COVER-INJ-SQ31      000000 off
00:24:32:681 CMD DBGM     - 95 INJSQ31  0.00.00 - COVER-INJ-SQ31.INJSQ31           000000 off
00:24:32:681 CMD DBGM     - 96 COVER-~3 1.00.00 - SortConveyor.COVER-INJ-SQ41      000000 off
00:24:32:681 CMD DBGM     - 97 INJSQ41  0.00.00 - COVER-INJ-SQ41.INJSQ41           000000 off
00:24:32:681 CMD DBGM     - 98 COVER-~4 1.00.00 - SortConveyor.COVER-INJ-SQ12      000000 off
00:24:32:681 CMD DBGM     - 99 INJSQ12  0.00.00 - COVER-INJ-SQ12.INJSQ12           000000 off
00:24:32:681 CMD DBGM     - 100 COVER-~5 1.00.00 - SortConveyor.COVER-INJ-SQ32      000000 off
00:24:32:681 CMD DBGM     - 101 INJSQ32  0.00.00 - COVER-INJ-SQ32.INJSQ32           000000 off
00:24:32:681 CMD DBGM     - 102 COVER-~6 1.00.00 - SortConveyor.COVER-INJ-SQ42      000000 off
00:24:32:681 CMD DBGM     - 103 INJSQ42  0.00.00 - COVER-INJ-SQ42.INJSQ42           000000 off
00:24:32:681 CMD DBGM     - 104 UpperCnv 0.00.00 - UpperCnvr                        061600 off
00:24:32:681 CMD DBGM     - 105 MotorUpp 0.00.00 - UpperCnvr.MotorUpper             000000 off
00:24:32:681 CMD DBGM     - 106 pl1000   0.00.00 - UpperCnvr.pl1000                 000000 off
00:24:32:681 CMD DBGM     - 107 bm1000   0.00.00 - UpperCnvr.bm1000                 000000 off
00:24:32:681 CMD DBGM     - 108 bu10001  0.00.00 - UpperCnvr.bu10001                000000 off
00:24:32:681 CMD DBGM     - 109 bu10002  0.00.00 - UpperCnvr.bu10002                000000 off
00:24:32:681 CMD DBGM     - 110 bu10003  0.00.00 - UpperCnvr.bu10003                000000 off
00:24:32:681 CMD DBGM     - 111 pl1001   0.00.00 - UpperCnvr.pl1001                 000000 off
00:24:32:681 CMD DBGM     - 112 bm1001   0.00.00 - UpperCnvr.bm1001                 000000 off
00:24:32:681 CMD DBGM     - 113 bu10004  0.00.00 - UpperCnvr.bu10004                000000 off
00:24:32:681 CMD DBGM     - 114 bu10005  0.00.00 - UpperCnvr.bu10005                000000 off
00:24:32:681 CMD DBGM     - 115 bu10006  0.00.00 - UpperCnvr.bu10006                000000 off
00:24:32:681 CMD DBGM     - 116 pl1002   0.00.00 - UpperCnvr.pl1002                 000000 off
00:24:32:681 CMD DBGM     - 117 bm1002   0.00.00 - UpperCnvr.bm1002                 000000 off
00:24:32:681 CMD DBGM     - 118 bu10007  0.00.00 - UpperCnvr.bu10007                000000 off
00:24:32:681 CMD DBGM     - 119 bu10008  0.00.00 - UpperCnvr.bu10008                000000 off
00:24:32:681 CMD DBGM     - 120 bu10009  0.00.00 - UpperCnvr.bu10009                000000 off
00:24:32:681 CMD DBGM     - 121 pl1003   0.00.00 - UpperCnvr.pl1003                 000000 off
00:24:32:681 CMD DBGM     - 122 bm1003   0.00.00 - UpperCnvr.bm1003                 000000 off
00:24:32:681 CMD DBGM     - 123 bu10010  0.00.00 - UpperCnvr.bu10010                000000 off
00:24:32:681 CMD DBGM     - 124 bu10011  0.00.00 - UpperCnvr.bu10011                000000 off
00:24:32:681 CMD DBGM     - 125 bu10012  0.00.00 - UpperCnvr.bu10012                000000 off
00:24:32:681 CMD DBGM     - 126 pl1004   0.00.00 - UpperCnvr.pl1004                 000000 off
00:24:32:681 CMD DBGM     - 127 bm1004   0.00.00 - UpperCnvr.bm1004                 000000 off
00:24:32:681 CMD DBGM     - 128 bu10013  0.00.00 - UpperCnvr.bu10013                000000 off
00:24:32:681 CMD DBGM     - 129 bu10014  0.00.00 - UpperCnvr.bu10014                000000 off
00:24:32:681 CMD DBGM     - 130 bu10015  0.00.00 - UpperCnvr.bu10015                000000 off
00:24:32:681 CMD DBGM     - 131 pl1005   0.00.00 - UpperCnvr.pl1005                 000000 off
00:24:32:681 CMD DBGM     - 132 bm1005   0.00.00 - UpperCnvr.bm1005                 000000 off
00:24:32:681 CMD DBGM     - 133 bu10016  0.00.00 - UpperCnvr.bu10016                000000 off
