03:56:47:102 CMD DBGM     - Commands Sent By Default To Module DBGM
03:56:47:103 CMD DBGM     - 230 AE_UF060 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF060       000000 off
03:56:47:103 CMD DBGM     - 231 DT_UF060 0.00.00 - ETACS_UR.AE_UF060.DT_UF060       000000 off
03:56:47:103 CMD DBGM     - 232 SD_UF060 0.00.00 - ETACS_UR.AE_UF060.SD_UF060       000000 off
03:56:47:103 CMD DBGM     - 233 AE_UF061 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF061       000000 off
03:56:47:103 CMD DBGM     - 234 DT_UF061 0.00.00 - ETACS_UR.AE_UF061.DT_UF061       000000 off
03:56:47:103 CMD DBGM     - 235 SD_UF061 0.00.00 - ETACS_UR.AE_UF061.SD_UF061       000000 off
03:56:47:103 CMD DBGM     - 236 AE_UF062 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF062       000000 off
03:56:47:103 CMD DBGM     - 237 DT_UF062 0.00.00 - ETACS_UR.AE_UF062.DT_UF062       000000 off
03:56:47:103 CMD DBGM     - 238 SD_UF062 0.00.00 - ETACS_UR.AE_UF062.SD_UF062       000000 off
03:56:47:103 CMD DBGM     - 239 AE_UF063 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF063       000000 off
03:56:47:103 CMD DBGM     - 240 DT_UF063 0.00.00 - ETACS_UR.AE_UF063.DT_UF063       000000 off
03:56:47:103 CMD DBGM     - 241 SD_UF063 0.00.00 - ETACS_UR.AE_UF063.SD_UF063       000000 off
03:56:47:103 CMD DBGM     - 242 AE_UF064 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF064       000000 off
03:56:47:103 CMD DBGM     - 243 DT_UF064 0.00.00 - ETACS_UR.AE_UF064.DT_UF064       000000 off
03:56:47:103 CMD DBGM     - 244 SD_UF064 0.00.00 - ETACS_UR.AE_UF064.SD_UF064       000000 off
03:56:47:103 CMD DBGM     - 245 AE_UF065 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF065       000000 off
03:56:47:103 CMD DBGM     - 246 DT_UF065 0.00.00 - ETACS_UR.AE_UF065.DT_UF065       000000 off
03:56:47:103 CMD DBGM     - 247 SD_UF065 0.00.00 - ETACS_UR.AE_UF065.SD_UF065       000000 off
03:56:47:103 CMD DBGM     - 248 AE_UF066 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF066       000000 off
03:56:47:103 CMD DBGM     - 249 DT_UF066 0.00.00 - ETACS_UR.AE_UF066.DT_UF066       000000 off
03:56:47:103 CMD DBGM     - 250 SD_UF066 0.00.00 - ETACS_UR.AE_UF066.SD_UF066       000000 off
03:56:47:104 CMD DBGM     - 251 AE_UF067 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF067       000000 off
03:56:47:104 CMD DBGM     - 252 DT_UF067 0.00.00 - ETACS_UR.AE_UF067.DT_UF067       000000 off
03:56:47:104 CMD DBGM     - 253 SD_UF067 0.00.00 - ETACS_UR.AE_UF067.SD_UF067       000000 off
03:56:47:104 CMD DBGM     - 254 AE_UF068 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF068       000000 off
03:56:47:104 CMD DBGM     - 255 DT_UF068 0.00.00 - ETACS_UR.AE_UF068.DT_UF068       000000 off
03:56:47:104 CMD DBGM     - 256 SD_UF068 0.00.00 - ETACS_UR.AE_UF068.SD_UF068       000000 off
03:56:47:104 CMD DBGM     - 257 AE_UF069 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF069       000000 off
03:56:47:104 CMD DBGM     - 258 DT_UF069 0.00.00 - ETACS_UR.AE_UF069.DT_UF069       000000 off
03:56:47:104 CMD DBGM     - 259 SD_UF069 0.00.00 - ETACS_UR.AE_UF069.SD_UF069       000000 off
03:56:47:104 CMD DBGM     - 260 AE_UF070 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF070       000000 off
03:56:47:104 CMD DBGM     - 261 DT_UF070 0.00.00 - ETACS_UR.AE_UF070.DT_UF070       000000 off
03:56:47:104 CMD DBGM     - 262 SD_UF070 0.00.00 - ETACS_UR.AE_UF070.SD_UF070       000000 off
03:56:47:104 CMD DBGM     - 263 AE_UF071 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF071       000000 off
03:56:47:104 CMD DBGM     - 264 DT_UF071 0.00.00 - ETACS_UR.AE_UF071.DT_UF071       000000 off
03:56:47:104 CMD DBGM     - 265 SD_UF071 0.00.00 - ETACS_UR.AE_UF071.SD_UF071       000000 off
03:56:47:104 CMD DBGM     - 266 AE_UF072 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF072       000000 off
03:56:47:104 CMD DBGM     - 267 DT_UF072 0.00.00 - ETACS_UR.AE_UF072.DT_UF072       000000 off
03:56:47:104 CMD DBGM     - 268 SD_UF072 0.00.00 - ETACS_UR.AE_UF072.SD_UF072       000000 off
03:56:47:104 CMD DBGM     - 269 AE_UF073 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF073       000000 off
03:56:47:104 CMD DBGM     - 270 DT_UF073 0.00.00 - ETACS_UR.AE_UF073.DT_UF073       000000 off
03:56:47:104 CMD DBGM     - 271 SD_UF073 0.00.00 - ETACS_UR.AE_UF073.SD_UF073       000000 off
03:56:47:104 CMD DBGM     - 272 AE_UF074 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF074       000000 off
03:56:47:104 CMD DBGM     - 273 DT_UF074 0.00.00 - ETACS_UR.AE_UF074.DT_UF074       000000 off
03:56:47:104 CMD DBGM     - 274 SD_UF074 0.00.00 - ETACS_UR.AE_UF074.SD_UF074       000000 off
03:56:47:104 CMD DBGM     - 275 AE_UF075 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF075       000000 off
03:56:47:104 CMD DBGM     - 276 DT_UF075 0.00.00 - ETACS_UR.AE_UF075.DT_UF075       000000 off
03:56:47:104 CMD DBGM     - 277 SD_UF075 0.00.00 - ETACS_UR.AE_UF075.SD_UF075       000000 off
03:56:47:104 CMD DBGM     - 278 AE_UF076 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF076       000000 off
03:56:47:104 CMD DBGM     - 279 DT_UF076 0.00.00 - ETACS_UR.AE_UF076.DT_UF076       000000 off
03:56:47:104 CMD DBGM     - 280 SD_UF076 0.00.00 - ETACS_UR.AE_UF076.SD_UF076       000000 off
03:56:47:104 CMD DBGM     - 281 AE_UF077 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF077       000000 off
03:56:47:104 CMD DBGM     - 282 DT_UF077 0.00.00 - ETACS_UR.AE_UF077.DT_UF077       000000 off
03:56:47:104 CMD DBGM     - 283 SD_UF077 0.00.00 - ETACS_UR.AE_UF077.SD_UF077       000000 off
03:56:47:104 CMD DBGM     - 284 AE_UF078 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF078       000000 off
03:56:47:104 CMD DBGM     - 285 DT_UF078 0.00.00 - ETACS_UR.AE_UF078.DT_UF078       000000 off
03:56:47:104 CMD DBGM     - 286 SD_UF078 0.00.00 - ETACS_UR.AE_UF078.SD_UF078       000000 off
03:56:47:104 CMD DBGM     - 287 ETACS_UL 0.00.00 - PS1_THSy.ETAC_Upp.ETACS_UL       000000 off
03:56:47:104 CMD DBGM     - 288 Motor002 0.00.00 - ETAC_Upp.ETACS_UL.Motor002       000000 off
03:56:47:104 CMD DBGM     - 289 AE_UB078 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB078       000000 off
03:56:47:104 CMD DBGM     - 290 DT_UB078 0.00.00 - ETACS_UL.AE_UB078.DT_UB078       000000 off
03:56:47:104 CMD DBGM     - 291 SD_UB078 0.00.00 - ETACS_UL.AE_UB078.SD_UB078       000000 off
03:56:47:104 CMD DBGM     - 292 AE_UB077 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB077       000000 off
03:56:47:104 CMD DBGM     - 293 DT_UB077 0.00.00 - ETACS_UL.AE_UB077.DT_UB077       000000 off
03:56:47:104 CMD DBGM     - 294 SD_UB077 0.00.00 - ETACS_UL.AE_UB077.SD_UB077       000000 off
03:56:47:104 CMD DBGM     - 295 AE_UB076 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB076       000000 off
03:56:47:104 CMD DBGM     - 296 DT_UB076 0.00.00 - ETACS_UL.AE_UB076.DT_UB076       000000 off
03:56:47:104 CMD DBGM     - 297 SD_UB076 0.00.00 - ETACS_UL.AE_UB076.SD_UB076       000000 off
03:56:47:104 CMD DBGM     - 298 AE_UB075 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB075       000000 off
03:56:47:104 CMD DBGM     - 299 DT_UB075 0.00.00 - ETACS_UL.AE_UB075.DT_UB075       000000 off
03:56:47:104 CMD DBGM     - 300 SD_UB075 0.00.00 - ETACS_UL.AE_UB075.SD_UB075       000000 off
03:56:47:104 CMD DBGM     - 301 AE_UB074 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB074       000000 off
03:56:47:104 CMD DBGM     - 302 DT_UB074 0.00.00 - ETACS_UL.AE_UB074.DT_UB074       000000 off
03:56:47:104 CMD DBGM     - 303 SD_UB074 0.00.00 - ETACS_UL.AE_UB074.SD_UB074       000000 off
03:56:47:104 CMD DBGM     - 304 AE_UB073 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB073       000000 off
03:56:47:104 CMD DBGM     - 305 DT_UB073 0.00.00 - ETACS_UL.AE_UB073.DT_UB073       000000 off
03:56:47:104 CMD DBGM     - 306 SD_UB073 0.00.00 - ETACS_UL.AE_UB073.SD_UB073       000000 off
03:56:47:104 CMD DBGM     - 307 AE_UB072 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB072       000000 off
03:56:47:104 CMD DBGM     - 308 DT_UB072 0.00.00 - ETACS_UL.AE_UB072.DT_UB072       000000 off
03:56:47:104 CMD DBGM     - 309 SD_UB072 0.00.00 - ETACS_UL.AE_UB072.SD_UB072       000000 off
03:56:47:104 CMD DBGM     - 310 AE_UB071 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB071       000000 off
03:56:47:104 CMD DBGM     - 311 DT_UB071 0.00.00 - ETACS_UL.AE_UB071.DT_UB071       000000 off
03:56:47:104 CMD DBGM     - 312 SD_UB071 0.00.00 - ETACS_UL.AE_UB071.SD_UB071       000000 off
03:56:47:104 CMD DBGM     - 313 AE_UB070 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB070       000000 off
03:56:47:104 CMD DBGM     - 314 DT_UB070 0.00.00 - ETACS_UL.AE_UB070.DT_UB070       000000 off
03:56:47:104 CMD DBGM     - 315 SD_UB070 0.00.00 - ETACS_UL.AE_UB070.SD_UB070       000000 off
03:56:47:104 CMD DBGM     - 316 AE_UB069 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB069       000000 off
03:56:47:104 CMD DBGM     - 317 DT_UB069 0.00.00 - ETACS_UL.AE_UB069.DT_UB069       000000 off
03:56:47:104 CMD DBGM     - 318 SD_UB069 0.00.00 - ETACS_UL.AE_UB069.SD_UB069       000000 off
03:56:47:104 CMD DBGM     - 319 AE_UB068 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB068       000000 off
03:56:47:104 CMD DBGM     - 320 DT_UB068 0.00.00 - ETACS_UL.AE_UB068.DT_UB068       000000 off
03:56:47:104 CMD DBGM     - 321 SD_UB068 0.00.00 - ETACS_UL.AE_UB068.SD_UB068       000000 off
03:56:47:104 CMD DBGM     - 322 AE_UB067 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB067       000000 off
03:56:47:104 CMD DBGM     - 323 DT_UB067 0.00.00 - ETACS_UL.AE_UB067.DT_UB067       000000 off
03:56:47:104 CMD DBGM     - 324 SD_UB067 0.00.00 - ETACS_UL.AE_UB067.SD_UB067       000000 off
03:56:47:104 CMD DBGM     - 325 AE_UB066 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB066       000000 off
--- ClientDBGM --- st INFD____ ffffff
03:56:47:104 CMD DBGM     - 326 DT_UB066 0.00.00 - ETACS_UL.AE_UB066.DT_UB066       000000 off
03:56:47:104 CMD DBGM     - 327 SD_UB066 0.00.00 - ETACS_UL.AE_UB066.SD_UB066       000000 off
03:56:47:104 CMD DBGM     - 328 AE_UB065 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB065       000000 off
03:56:47:104 CMD DBGM     - 329 DT_UB065 0.00.00 - ETACS_UL.AE_UB065.DT_UB065       000000 off
03:56:47:104 CMD DBGM     - 330 SD_UB065 0.00.00 - ETACS_UL.AE_UB065.SD_UB065       000000 off
03:56:47:104 CMD DBGM     - 331 AE_UB064 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB064       000000 off
03:56:47:104 CMD DBGM     - 332 DT_UB064 0.00.00 - ETACS_UL.AE_UB064.DT_UB064       000000 off
03:56:47:104 CMD DBGM     - 333 SD_UB064 0.00.00 - ETACS_UL.AE_UB064.SD_UB064       000000 off
03:56:47:104 CMD DBGM     - 334 AE_UB063 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB063       000000 off
03:56:47:104 CMD DBGM     - 335 DT_UB063 0.00.00 - ETACS_UL.AE_UB063.DT_UB063       000000 off
03:56:47:104 CMD DBGM     - 336 SD_UB063 0.00.00 - ETACS_UL.AE_UB063.SD_UB063       000000 off
03:56:47:104 CMD DBGM     - 337 AE_UB062 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB062       000000 off
03:56:47:104 CMD DBGM     - 338 DT_UB062 0.00.00 - ETACS_UL.AE_UB062.DT_UB062       000000 off
03:56:47:104 CMD DBGM     - 339 SD_UB062 0.00.00 - ETACS_UL.AE_UB062.SD_UB062       000000 off
03:56:47:104 CMD DBGM     - 340 AE_UB061 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB061       000000 off
03:56:47:104 CMD DBGM     - 341 DT_UB061 0.00.00 - ETACS_UL.AE_UB061.DT_UB061       000000 off
03:56:47:104 CMD DBGM     - 342 SD_UB061 0.00.00 - ETACS_UL.AE_UB061.SD_UB061       000000 off
03:56:47:104 CMD DBGM     - 343 AE_UB060 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB060       000000 off
03:56:47:104 CMD DBGM     - 344 DT_UB060 0.00.00 - ETACS_UL.AE_UB060.DT_UB060       000000 off
03:56:47:104 CMD DBGM     - 345 SD_UB060 0.00.00 - ETACS_UL.AE_UB060.SD_UB060       000000 off
03:56:47:104 CMD DBGM     - 346 AE_UB059 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB059       000000 off
03:56:47:104 CMD DBGM     - 347 DT_UB059 0.00.00 - ETACS_UL.AE_UB059.DT_UB059       000000 off
03:56:47:104 CMD DBGM     - 348 SD_UB059 0.00.00 - ETACS_UL.AE_UB059.SD_UB059       000000 off
03:56:47:104 CMD DBGM     - 349 AE_UB058 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB058       000000 off
03:56:47:104 CMD DBGM     - 350 DT_UB058 0.00.00 - ETACS_UL.AE_UB058.DT_UB058       000000 off
03:56:47:104 CMD DBGM     - 351 SD_UB058 0.00.00 - ETACS_UL.AE_UB058.SD_UB058       000000 off
03:56:47:104 CMD DBGM     - 352 AE_UB057 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB057       000000 off
03:56:47:104 CMD DBGM     - 353 DT_UB057 0.00.00 - ETACS_UL.AE_UB057.DT_UB057       000000 off
03:56:47:104 CMD DBGM     - 354 SD_UB057 0.00.00 - ETACS_UL.AE_UB057.SD_UB057       000000 off
03:56:47:104 CMD DBGM     - 355 AE_UB056 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB056       000000 off
03:56:47:104 CMD DBGM     - 356 DT_UB056 0.00.00 - ETACS_UL.AE_UB056.DT_UB056       000000 off
03:56:47:104 CMD DBGM     - 357 SD_UB056 0.00.00 - ETACS_UL.AE_UB056.SD_UB056       000000 off
03:56:47:104 CMD DBGM     - 358 AE_UB055 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB055       000000 off
03:56:47:104 CMD DBGM     - 359 DT_UB055 0.00.00 - ETACS_UL.AE_UB055.DT_UB055       000000 off
03:56:47:104 CMD DBGM     - 360 SD_UB055 0.00.00 - ETACS_UL.AE_UB055.SD_UB055       000000 off
03:56:47:104 CMD DBGM     - 361 AE_UB054 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB054       000000 off
--- ClientDBGM --- ti on
--- ClientDBGM --- ta ... on
03:56:47:104 CMD DBGM     - 362 DT_UB054 0.00.00 - ETACS_UL.AE_UB054.DT_UB054       000000 off
03:56:47:104 CMD DBGM     - 363 SD_UB054 0.00.00 - ETACS_UL.AE_UB054.SD_UB054       000000 off
03:56:47:104 CMD DBGM     - 364 AE_UB053 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB053       000000 off
03:56:47:104 CMD DBGM     - 365 DT_UB053 0.00.00 - ETACS_UL.AE_UB053.DT_UB053       000000 off
03:56:47:104 CMD DBGM     - 366 SD_UB053 0.00.00 - ETACS_UL.AE_UB053.SD_UB053       000000 off
03:56:47:104 CMD DBGM     - 367 AE_UB052 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB052       000000 off
03:56:47:104 CMD DBGM     - 368 DT_UB052 0.00.00 - ETACS_UL.AE_UB052.DT_UB052       000000 off
03:56:47:104 CMD DBGM     - 369 SD_UB052 0.00.00 - ETACS_UL.AE_UB052.SD_UB052       000000 off
03:56:47:104 CMD DBGM     - 370 AE_UB051 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB051       000000 off
03:56:47:104 CMD DBGM     - 371 DT_UB051 0.00.00 - ETACS_UL.AE_UB051.DT_UB051       000000 off
03:56:47:104 CMD DBGM     - 372 SD_UB051 0.00.00 - ETACS_UL.AE_UB051.SD_UB051       000000 off
03:56:47:104 CMD DBGM     - 373 AE_UB050 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB050       000000 off
03:56:47:104 CMD DBGM     - 374 DT_UB050 0.00.00 - ETACS_UL.AE_UB050.DT_UB050       000000 off
03:56:47:104 CMD DBGM     - 375 SD_UB050 0.00.00 - ETACS_UL.AE_UB050.SD_UB050       000000 off
03:56:47:104 CMD DBGM     - 376 AE_UB049 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB049       000000 off
03:56:47:104 CMD DBGM     - 377 DT_UB049 0.00.00 - ETACS_UL.AE_UB049.DT_UB049       000000 off
03:56:47:104 CMD DBGM     - 378 SD_UB049 0.00.00 - ETACS_UL.AE_UB049.SD_UB049       000000 off
03:56:47:104 CMD DBGM     - 379 AE_UB048 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB048       000000 off
03:56:47:104 CMD DBGM     - 380 DT_UB048 0.00.00 - ETACS_UL.AE_UB048.DT_UB048       000000 off
03:56:47:104 CMD DBGM     - 381 SD_UB048 0.00.00 - ETACS_UL.AE_UB048.SD_UB048       000000 off
03:56:47:104 CMD DBGM     - 382 AE_UB047 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB047       000000 off
03:56:47:104 CMD DBGM     - 383 DT_UB047 0.00.00 - ETACS_UL.AE_UB047.DT_UB047       000000 off
03:56:47:104 CMD DBGM     - 384 SD_UB047 0.00.00 - ETACS_UL.AE_UB047.SD_UB047       000000 off
03:56:47:104 CMD DBGM     - 385 AE_UB046 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB046       000000 off
03:56:47:104 CMD DBGM     - 386 DT_UB046 0.00.00 - ETACS_UL.AE_UB046.DT_UB046       000000 off
03:56:47:104 CMD DBGM     - 387 SD_UB046 0.00.00 - ETACS_UL.AE_UB046.SD_UB046       000000 off
03:56:47:104 CMD DBGM     - 388 AE_UB045 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB045       000000 off
03:56:47:104 CMD DBGM     - 389 DT_UB045 0.00.00 - ETACS_UL.AE_UB045.DT_UB045       000000 off
03:56:47:104 CMD DBGM     - 390 SD_UB045 0.00.00 - ETACS_UL.AE_UB045.SD_UB045       000000 off
03:56:47:104 CMD DBGM     - 391 AE_UB044 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB044       000000 off
03:56:47:104 CMD DBGM     - 392 DT_UB044 0.00.00 - ETACS_UL.AE_UB044.DT_UB044       000000 off
03:56:47:104 CMD DBGM     - 393 SD_UB044 0.00.00 - ETACS_UL.AE_UB044.SD_UB044       000000 off
03:56:47:104 CMD DBGM     - 394 AE_UB043 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB043       000000 off
03:56:47:104 CMD DBGM     - 395 DT_UB043 0.00.00 - ETACS_UL.AE_UB043.DT_UB043       000000 off
03:56:47:104 CMD DBGM     - 396 SD_UB043 0.00.00 - ETACS_UL.AE_UB043.SD_UB043       000000 off
03:56:47:104 CMD DBGM     - 397 AE_UB042 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB042       000000 off
03:56:47:104 CMD DBGM     - 398 DT_UB042 0.00.00 - ETACS_UL.AE_UB042.DT_UB042       000000 off
03:56:47:104 CMD DBGM     - 399 SD_UB042 0.00.00 - ETACS_UL.AE_UB042.SD_UB042       000000 off
03:56:47:104 CMD DBGM     - 400 AE_UB041 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB041       000000 off
03:56:47:104 CMD DBGM     - 401 DT_UB041 0.00.00 - ETACS_UL.AE_UB041.DT_UB041       000000 off
03:56:47:104 CMD DBGM     - 402 SD_UB041 0.00.00 - ETACS_UL.AE_UB041.SD_UB041       000000 off
03:56:47:104 CMD DBGM     - 403 AE_UB040 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB040       000000 off
03:56:47:104 CMD DBGM     - 404 DT_UB040 0.00.00 - ETACS_UL.AE_UB040.DT_UB040       000000 off
03:56:47:104 CMD DBGM     - 405 SD_UB040 0.00.00 - ETACS_UL.AE_UB040.SD_UB040       000000 off
03:56:47:104 CMD DBGM     - 406 AE_UB039 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB039       000000 off
03:56:47:104 CMD DBGM     - 407 DT_UB039 0.00.00 - ETACS_UL.AE_UB039.DT_UB039       000000 off
03:56:47:104 CMD DBGM     - 408 SD_UB039 0.00.00 - ETACS_UL.AE_UB039.SD_UB039       000000 off
03:56:47:104 CMD DBGM     - 409 AE_UB038 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB038       000000 off
03:56:47:104 CMD DBGM     - 410 DT_UB038 0.00.00 - ETACS_UL.AE_UB038.DT_UB038       000000 off
03:56:47:104 CMD DBGM     - 411 SD_UB038 0.00.00 - ETACS_UL.AE_UB038.SD_UB038       000000 off
03:56:47:104 CMD DBGM     - 412 AE_UB037 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB037       000000 off
03:56:47:104 CMD DBGM     - 413 DT_UB037 0.00.00 - ETACS_UL.AE_UB037.DT_UB037       000000 off
03:56:47:104 CMD DBGM     - 414 SD_UB037 0.00.00 - ETACS_UL.AE_UB037.SD_UB037       000000 off
03:56:47:104 CMD DBGM     - 415 AE_UB036 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB036       000000 off
03:56:47:104 CMD DBGM     - 416 DT_UB036 0.00.00 - ETACS_UL.AE_UB036.DT_UB036       000000 off
03:56:47:104 CMD DBGM     - 417 SD_UB036 0.00.00 - ETACS_UL.AE_UB036.SD_UB036       000000 off
03:56:47:104 CMD DBGM     - 418 AE_UB035 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB035       000000 off
03:56:47:104 CMD DBGM     - 419 DT_UB035 0.00.00 - ETACS_UL.AE_UB035.DT_UB035       000000 off
03:56:47:104 CMD DBGM     - 420 SD_UB035 0.00.00 - ETACS_UL.AE_UB035.SD_UB035       000000 off
03:56:47:104 CMD DBGM     - 421 AE_UB034 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB034       000000 off
03:56:47:104 CMD DBGM     - 422 DT_UB034 0.00.00 - ETACS_UL.AE_UB034.DT_UB034       000000 off
03:56:47:104 CMD DBGM     - 423 SD_UB034 0.00.00 - ETACS_UL.AE_UB034.SD_UB034       000000 off
03:56:47:104 CMD DBGM     - 424 AE_UB033 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB033       000000 off
03:56:47:104 CMD DBGM     - 425 DT_UB033 0.00.00 - ETACS_UL.AE_UB033.DT_UB033       000000 off
03:56:47:104 CMD DBGM     - 426 SD_UB033 0.00.00 - ETACS_UL.AE_UB033.SD_UB033       000000 off
03:56:47:104 CMD DBGM     - 427 AE_UB032 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB032       000000 off
03:56:47:104 CMD DBGM     - 428 DT_UB032 0.00.00 - ETACS_UL.AE_UB032.DT_UB032       000000 off
03:56:47:104 CMD DBGM     - 429 SD_UB032 0.00.00 - ETACS_UL.AE_UB032.SD_UB032       000000 off
03:56:47:104 CMD DBGM     - 430 AE_UB031 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB031       000000 off
03:56:47:104 CMD DBGM     - 431 DT_UB031 0.00.00 - ETACS_UL.AE_UB031.DT_UB031       000000 off
03:56:47:104 CMD DBGM     - 432 SD_UB031 0.00.00 - ETACS_UL.AE_UB031.SD_UB031       000000 off
03:56:47:104 CMD DBGM     - 433 AE_UB030 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB030       000000 off
03:56:47:105 CMD DBGM     - 434 DT_UB030 0.00.00 - ETACS_UL.AE_UB030.DT_UB030       000000 off
03:56:47:105 CMD DBGM     - 435 SD_UB030 0.00.00 - ETACS_UL.AE_UB030.SD_UB030       000000 off
03:56:47:105 CMD DBGM     - 436 AE_UB029 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB029       000000 off
03:56:47:105 CMD DBGM     - 437 DT_UB029 0.00.00 - ETACS_UL.AE_UB029.DT_UB029       000000 off
03:56:47:105 CMD DBGM     - 438 SD_UB029 0.00.00 - ETACS_UL.AE_UB029.SD_UB029       000000 off
03:56:47:105 CMD DBGM     - 439 AE_UB028 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB028       000000 off
03:56:47:105 CMD DBGM     - 440 DT_UB028 0.00.00 - ETACS_UL.AE_UB028.DT_UB028       000000 off
03:56:47:105 CMD DBGM     - 441 SD_UB028 0.00.00 - ETACS_UL.AE_UB028.SD_UB028       000000 off
03:56:47:105 CMD DBGM     - 442 AE_UB027 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB027       000000 off
03:56:47:105 CMD DBGM     - 443 DT_UB027 0.00.00 - ETACS_UL.AE_UB027.DT_UB027       000000 off
03:56:47:105 CMD DBGM     - 444 SD_UB027 0.00.00 - ETACS_UL.AE_UB027.SD_UB027       000000 off
03:56:47:105 CMD DBGM     - 445 AE_UB026 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB026       000000 off
03:56:47:105 CMD DBGM     - 446 DT_UB026 0.00.00 - ETACS_UL.AE_UB026.DT_UB026       000000 off
03:56:47:105 CMD DBGM     - 447 SD_UB026 0.00.00 - ETACS_UL.AE_UB026.SD_UB026       000000 off
03:56:47:105 CMD DBGM     - 448 AE_UB025 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB025       000000 off
03:56:47:105 CMD DBGM     - 449 DT_UB025 0.00.00 - ETACS_UL.AE_UB025.DT_UB025       000000 off
03:56:47:105 CMD DBGM     - 450 SD_UB025 0.00.00 - ETACS_UL.AE_UB025.SD_UB025       000000 off
03:56:47:105 CMD DBGM     - 451 AE_UB024 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB024       000000 off
03:56:47:105 CMD DBGM     - 452 DT_UB024 0.00.00 - ETACS_UL.AE_UB024.DT_UB024       000000 off
03:56:47:105 CMD DBGM     - 453 SD_UB024 0.00.00 - ETACS_UL.AE_UB024.SD_UB024       000000 off
03:56:47:105 CMD DBGM     - 454 AE_UB023 0.00.00 - ETAC_Upp.ETACS_UL.AE_UB023       000000 off
