03:56:47:102 CMD DBGM     - Commands Sent By Default To Module DBGM
03:56:47:102 CMD DBGM     - 58 SD_UF002 0.00.00 - ETACS_UR.AE_UF002.SD_UF002       000000 off
03:56:47:102 CMD DBGM     - 59 AE_UF003 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF003       000000 off
03:56:47:102 CMD DBGM     - 60 DT_UF003 0.00.00 - ETACS_UR.AE_UF003.DT_UF003       000000 off
03:56:47:102 CMD DBGM     - 61 SD_UF003 0.00.00 - ETACS_UR.AE_UF003.SD_UF003       000000 off
03:56:47:102 CMD DBGM     - 62 AE_UF004 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF004       000000 off
03:56:47:102 CMD DBGM     - 63 DT_UF004 0.00.00 - ETACS_UR.AE_UF004.DT_UF004       000000 off
03:56:47:102 CMD DBGM     - 64 SD_UF004 0.00.00 - ETACS_UR.AE_UF004.SD_UF004       000000 off
03:56:47:102 CMD DBGM     - 65 AE_UF005 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF005       000000 off
03:56:47:102 CMD DBGM     - 66 DT_UF005 0.00.00 - ETACS_UR.AE_UF005.DT_UF005       000000 off
03:56:47:102 CMD DBGM     - 67 SD_UF005 0.00.00 - ETACS_UR.AE_UF005.SD_UF005       000000 off
03:56:47:102 CMD DBGM     - 68 AE_UF006 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF006       000000 off
03:56:47:102 CMD DBGM     - 69 DT_UF006 0.00.00 - ETACS_UR.AE_UF006.DT_UF006       000000 off
03:56:47:102 CMD DBGM     - 70 SD_UF006 0.00.00 - ETACS_UR.AE_UF006.SD_UF006       000000 off
03:56:47:102 CMD DBGM     - 71 AE_UF007 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF007       000000 off
03:56:47:102 CMD DBGM     - 72 DT_UF007 0.00.00 - ETACS_UR.AE_UF007.DT_UF007       000000 off
03:56:47:102 CMD DBGM     - 73 SD_UF007 0.00.00 - ETACS_UR.AE_UF007.SD_UF007       000000 off
03:56:47:102 CMD DBGM     - 74 AE_UF008 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF008       000000 off
03:56:47:102 CMD DBGM     - 75 DT_UF008 0.00.00 - ETACS_UR.AE_UF008.DT_UF008       000000 off
03:56:47:102 CMD DBGM     - 76 SD_UF008 0.00.00 - ETACS_UR.AE_UF008.SD_UF008       000000 off
03:56:47:102 CMD DBGM     - 77 AE_UF009 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF009       000000 off
03:56:47:102 CMD DBGM     - 78 DT_UF009 0.00.00 - ETACS_UR.AE_UF009.DT_UF009       000000 off
03:56:47:102 CMD DBGM     - 79 SD_UF009 0.00.00 - ETACS_UR.AE_UF009.SD_UF009       000000 off
03:56:47:102 CMD DBGM     - 80 AE_UF010 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF010       000000 off
03:56:47:102 CMD DBGM     - 81 DT_UF010 0.00.00 - ETACS_UR.AE_UF010.DT_UF010       000000 off
03:56:47:102 CMD DBGM     - 82 SD_UF010 0.00.00 - ETACS_UR.AE_UF010.SD_UF010       000000 off
03:56:47:102 CMD DBGM     - 83 AE_UF011 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF011       000000 off
03:56:47:102 CMD DBGM     - 84 DT_UF011 0.00.00 - ETACS_UR.AE_UF011.DT_UF011       000000 off
03:56:47:102 CMD DBGM     - 85 SD_UF011 0.00.00 - ETACS_UR.AE_UF011.SD_UF011       000000 off
03:56:47:102 CMD DBGM     - 86 AE_UF012 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF012       000000 off
03:56:47:102 CMD DBGM     - 87 DT_UF012 0.00.00 - ETACS_UR.AE_UF012.DT_UF012       000000 off
03:56:47:102 CMD DBGM     - 88 SD_UF012 0.00.00 - ETACS_UR.AE_UF012.SD_UF012       000000 off
03:56:47:102 CMD DBGM     - 89 AE_UF013 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF013       000000 off
03:56:47:102 CMD DBGM     - 90 DT_UF013 0.00.00 - ETACS_UR.AE_UF013.DT_UF013       000000 off
03:56:47:102 CMD DBGM     - 91 SD_UF013 0.00.00 - ETACS_UR.AE_UF013.SD_UF013       000000 off
03:56:47:102 CMD DBGM     - 92 AE_UF014 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF014       000000 off
03:56:47:102 CMD DBGM     - 93 DT_UF014 0.00.00 - ETACS_UR.AE_UF014.DT_UF014       000000 off
03:56:47:102 CMD DBGM     - 94 SD_UF014 0.00.00 - ETACS_UR.AE_UF014.SD_UF014       000000 off
03:56:47:102 CMD DBGM     - 95 AE_UF015 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF015       000000 off
03:56:47:102 CMD DBGM     - 96 DT_UF015 0.00.00 - ETACS_UR.AE_UF015.DT_UF015       000000 off
03:56:47:102 CMD DBGM     - 97 SD_UF015 0.00.00 - ETACS_UR.AE_UF015.SD_UF015       000000 off
03:56:47:102 CMD DBGM     - 98 AE_UF016 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF016       000000 off
03:56:47:102 CMD DBGM     - 99 DT_UF016 0.00.00 - ETACS_UR.AE_UF016.DT_UF016       000000 off
03:56:47:102 CMD DBGM     - 100 SD_UF016 0.00.00 - ETACS_UR.AE_UF016.SD_UF016       000000 off
03:56:47:102 CMD DBGM     - 101 AE_UF017 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF017       000000 off
03:56:47:102 CMD DBGM     - 102 DT_UF017 0.00.00 - ETACS_UR.AE_UF017.DT_UF017       000000 off
03:56:47:102 CMD DBGM     - 103 SD_UF017 0.00.00 - ETACS_UR.AE_UF017.SD_UF017       000000 off
03:56:47:102 CMD DBGM     - 104 AE_UF018 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF018       000000 off
03:56:47:102 CMD DBGM     - 105 DT_UF018 0.00.00 - ETACS_UR.AE_UF018.DT_UF018       000000 off
--- ClientDBGM --- st TTC_____ ffffff
03:56:47:102 CMD DBGM     - 106 SD_UF018 0.00.00 - ETACS_UR.AE_UF018.SD_UF018       000000 off
03:56:47:102 CMD DBGM     - 107 AE_UF019 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF019       000000 off
03:56:47:102 CMD DBGM     - 108 DT_UF019 0.00.00 - ETACS_UR.AE_UF019.DT_UF019       000000 off
03:56:47:102 CMD DBGM     - 109 SD_UF019 0.00.00 - ETACS_UR.AE_UF019.SD_UF019       000000 off
03:56:47:102 CMD DBGM     - 110 AE_UF020 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF020       000000 off
03:56:47:102 CMD DBGM     - 111 DT_UF020 0.00.00 - ETACS_UR.AE_UF020.DT_UF020       000000 off
03:56:47:102 CMD DBGM     - 112 SD_UF020 0.00.00 - ETACS_UR.AE_UF020.SD_UF020       000000 off
03:56:47:102 CMD DBGM     - 113 AE_UF021 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF021       000000 off
03:56:47:102 CMD DBGM     - 114 DT_UF021 0.00.00 - ETACS_UR.AE_UF021.DT_UF021       000000 off
03:56:47:102 CMD DBGM     - 115 SD_UF021 0.00.00 - ETACS_UR.AE_UF021.SD_UF021       000000 off
03:56:47:102 CMD DBGM     - 116 AE_UF022 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF022       000000 off
03:56:47:102 CMD DBGM     - 117 DT_UF022 0.00.00 - ETACS_UR.AE_UF022.DT_UF022       000000 off
03:56:47:102 CMD DBGM     - 118 SD_UF022 0.00.00 - ETACS_UR.AE_UF022.SD_UF022       000000 off
03:56:47:102 CMD DBGM     - 119 AE_UF023 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF023       000000 off
03:56:47:102 CMD DBGM     - 120 DT_UF023 0.00.00 - ETACS_UR.AE_UF023.DT_UF023       000000 off
03:56:47:102 CMD DBGM     - 121 SD_UF023 0.00.00 - ETACS_UR.AE_UF023.SD_UF023       000000 off
03:56:47:102 CMD DBGM     - 122 AE_UF024 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF024       000000 off
03:56:47:102 CMD DBGM     - 123 DT_UF024 0.00.00 - ETACS_UR.AE_UF024.DT_UF024       000000 off
03:56:47:102 CMD DBGM     - 124 SD_UF024 0.00.00 - ETACS_UR.AE_UF024.SD_UF024       000000 off
03:56:47:102 CMD DBGM     - 125 AE_UF025 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF025       000000 off
03:56:47:102 CMD DBGM     - 126 DT_UF025 0.00.00 - ETACS_UR.AE_UF025.DT_UF025       000000 off
03:56:47:102 CMD DBGM     - 127 SD_UF025 0.00.00 - ETACS_UR.AE_UF025.SD_UF025       000000 off
03:56:47:102 CMD DBGM     - 128 AE_UF026 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF026       000000 off
03:56:47:102 CMD DBGM     - 129 DT_UF026 0.00.00 - ETACS_UR.AE_UF026.DT_UF026       000000 off
03:56:47:102 CMD DBGM     - 130 SD_UF026 0.00.00 - ETACS_UR.AE_UF026.SD_UF026       000000 off
03:56:47:102 CMD DBGM     - 131 AE_UF027 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF027       000000 off
03:56:47:102 CMD DBGM     - 132 DT_UF027 0.00.00 - ETACS_UR.AE_UF027.DT_UF027       000000 off
03:56:47:102 CMD DBGM     - 133 SD_UF027 0.00.00 - ETACS_UR.AE_UF027.SD_UF027       000000 off
03:56:47:102 CMD DBGM     - 134 AE_UF028 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF028       000000 off
